Title,Description,Source,Date
DOGEの元職員が「5億人超のアメリカ国民の社会保障番号などが含まれたデータベース」をUSBメモリに保存して盗んだとの報道,"「政府効率化省(DOGE)の元職員が社会保障局からアメリカ人の個人情報を盗み、USBメモリに保存していた」と報じられました。DOGE member took Social Security data on a thumb drive, whistleblower alleges - The Washington Posthttps://www.washingtonpost.com/politics/2026/03/10/social-security-data-breach-doge/DOGE employee …",Livedoor.com,2026-03-11T02:23:00Z
Brisbane Roar tells Iranian players 'Queensland is your home now',"A-League clubs reach out to the Iranian women's players granted asylum, offering training, support and a new ""home"".",ABC News (AU),2026-03-11T02:05:23Z
Tear Down This Wall: Cold War Choir Practice,"The world of Ro Reddick’s play Cold War Choir Practice, at MCC, feels a little too tightly sealed-in but is still full of charm.",Vulture,2026-03-11T02:01:10Z
"Why Indian kitchens need to quit gas and go electric: In war or peace, it’ll serve us better","The Iran war has spotlighted India’s reliance on imported energy—even for something as basic as cooking meals. A shift from LPG and PNG to efficient induction stoves could cushion us. With a few reforms, India could go in for a climate-friendly electric trans…",Livemint,2026-03-11T02:00:19Z
Middle East crisis exposes Christopher Luxon’s weakness on global shocks – Richard Prebble,OPINION: Cabinet faces a stark choice: back Luxon or risk replacing him mid-term.,New Zealand Herald,2026-03-11T02:00:00Z
"Does Trump Want To Cancel or Disrupt the November Elections? “If We Do Not Win, They will Impeach Me”","The possibility of a code red terror alert has been announced time and again since September 11 2001, with a view to galvanizing public opinion across the country in support of an emergency situation, if and when it occurs.
The post Does Trump Want To Cancel …",Globalresearch.ca,2026-03-11T01:50:02Z
How to implement the DPDP Act,"Times Techies News: When you visit many global websites, you will instantly be prompted to accept or reject cookies. That’s for you to tell the company whether you are ok.",The Times of India,2026-03-11T01:42:18Z
"Hezbollah, Iran unleash coordinated cluster bomb strikes on Israel in major escalation","Hezbollah prepares guerrilla warfare tactics in south Lebanon as Israel launches airstrikes against Beirut strongholds, with expert predicting Israeli ground invasion.",Fox News,2026-03-11T01:40:28Z
The women writing AI’s rulebook,Times Techies News: As artificial intelligence becomes woven into complex business systems—from software development to healthcare and retail—the challenge is no longer j.,The Times of India,2026-03-11T01:36:43Z
Trump touts ‘historic’ $300B Texas refinery as first new US plant in nearly 50 years,"President Donald Trump on Tuesday announced America First Refining (AFR) is opening the first new U.S. oil refinery in nearly half a century in Brownsville, Texas. Situated in a massive deep-water foreign trade zone, the project will leverage advanced infrast…",Freerepublic.com,2026-03-11T01:32:46Z
New Nationals leader Canavan vows to 'fight back' for Australians,"With a populist economic message, the new Nationals leader said local manufacturing and higher birth rates were key as he rejected the labels of ""left"" and ""right"" politics.",ABC News (AU),2026-03-11T01:30:15Z
Homeland Security Weighs Nixing Luxury Jet,"“Discussions are underway at the Department of Homeland Security about reevaluating plans to buy a Boeing 737 MAX luxury jet that had been used by Kristi Noem prior to her ouster as DHS secretary,” National Review reports.",Politicalwire.com,2026-03-11T01:18:49Z
Runoff Set for Greene’s Seat,"Clay Fuller (R) will face Shawn Harris (D) in a runoff to replace former Rep. Marjorie Taylor Greene in Georgia’s 14th congressional district, CNN projects. Politico: “Fuller, a local prosecutor and Air National Guard member, is heavily favored in the April 7…",Politicalwire.com,2026-03-11T01:16:32Z
NACC’s robodebt investigation conjures offensive and stupid excuses for letting Scott Morrison off,"The NACC report on robodebt is out and it exonerates Scott Morrison, with a series of excuses and a justification of extraordinary offensiveness.
The post NACC’s robodebt investigation conjures offensive and stupid excuses for letting Scott Morrison off appea…",Crikey,2026-03-11T01:15:46Z
"The NACC didn’t update the media for 63 days, citing a lack of ‘sufficient newsworthy information’","The corruption watchdog scrapped its weekly updates last year, opting to brief journalists monthly instead. But between December and February, it went silent.
The post The NACC didn’t update the media for 63 days, citing a lack of ‘sufficient newsworthy infor…",Crikey,2026-03-11T01:06:12Z
The 50: Nikki Tamboli Shares Cryptic note on fake comments; “Meri Post pe Fake comment karwane Se Zayada Mehnat Agar Apni life Pe Karte”,"In a mysterious Instagram post following the buzz around 'The 50', Nikki Tamboli seems to take aim at certain cast members. Her pointed remarks call out individuals who rely on paid comments to boost their online presence, encouraging them to focus on buildin…",The Times of India,2026-03-11T00:42:13Z
Stephen A. Smith shuts down 2028 presidential run rumors with surprising reason,"Stephen A. Smith, the executive producer and lead commentator of ESPN&apos;s &quot;First Take,&quot; has officially walked back his previous teases regarding a run for the 2028 U.S",Marca,2026-03-11T00:36:24Z
Jennifer Aniston and Angelina Jolie’s feud coming on screen?,"Hollywood's infamous love triangle involving Jennifer Aniston, Brad Pitt, and Angelina Jolie might be dramatized for the screen. Producers are reportedly considering a miniseries or movie exploring the decades-long 'feud,' which began with Pitt's split from A…",The Times of India,2026-03-11T00:30:38Z
Trump's endorsement in the Texas Senate race may hinge on passage of the SAVE America Act,"Trump frequently brings up the SAVE America Act, which would impose stricter voting requirements. He told NBC News he is ""not doing anything"" until Congress passes it.",NBC News,2026-03-11T00:29:41Z
Lagos council tasks appointees on community development,"Ojodu LCDA Chairman Segun Odunmbaku swears in 21 new appointees, urging them to prioritize community development and good governance over politics.

Read More: https://punchng.com/lagos-council-tasks-appointees-on-community-development/",The Punch,2026-03-11T00:24:18Z
"Democrat Shawn Harris to face Trump-endorsed Republican Clay Fuller in runoff to replace Marjorie Taylor Greene, CNN projects","Republican Clay Fuller will face Democrat Shawn Harris in a runoff to replace former GOP Rep. Marjorie Taylor Greene in Georgia’s 14th Congressional District, CNN projects.",CNN,2026-03-11T00:20:14Z
"A’Court fallout: PDP govs, Wike camp move to open reconciliation talks","Following a Court of Appeal ruling, PDP governors and Nyesom Wike’s camp are holding talks for reconciliation to prevent the party’s collapse before 2027.

Read More: https://punchng.com/acourt-fallout-pdp-govs-wike-camp-move-to-open-reconciliation-talks/",The Punch,2026-03-11T00:20:09Z
"Delhi-NCR haze not linked to Iran oil fires, says experts; dust from Balochistan, Thar responsible","Unseasonal fog and haze blanketed north India, including Delhi-NCR, Tuesday morning. Experts largely dismiss the possibility of smoke from war-hit Iran's burning oil facilities being the cause, citing wind patterns and plume distance. Moisture-laden easterly …",The Times of India,2026-03-11T00:16:37Z
Nepal’s communist forces face existential crisis after historic electoral defeat,"KATHMANDU: After decades of continuous influence in Nepali politics following the 1990 movement, the country’s communist parties now face an unprecedented crisis of survival, according to analysts and election results. The decline is widely attributed to inte…",Khabarhub.com,2026-03-11T00:15:10Z
Women View Beloved Pizza Topping as a Major Red Flag in Men: ‘It’s Selfish’,"As if dating in this tech-obsessed era wasn’t difficult enough, women on social media have decided that those who favor meat as a pizza topping are walking red flags. As surface level as that sounds, women like Esme Hewitt (@esmehewitt) have a strong case for…",Freerepublic.com,2026-03-11T00:13:30Z
"Albanese wanted to end political alienation. Thanks to his support for Trump, there’s a new batch of pissed off voters","Labor can't be blamed for One Nation's rise in the polls, but the government's support for the war in Iran has deepened another fracture. 
The post Albanese wanted to end political alienation. Thanks to his support for Trump, there’s a new batch of pissed off…",Crikey,2026-03-11T00:10:31Z
How will the Iran conflict end? #politics,"A fast end is not guaranteed The United States and its partners have not offered a clear, decisive exit plan. Senior administration spokespeople have repeatedly framed the campaign as contingent: military action will stop when stated objectives are met. The p…",Alltoc.com,2026-03-11T00:07:22Z
Why are oil prices surging? #politics,"Disruptions in supply and shipping are the immediate drivers Global energy markets have reacted sharply to the widening military campaign in the Middle East. Two linked factors are driving the surge: direct damage and attacks on energy infrastructure, and dis…",Alltoc.com,2026-03-11T00:07:22Z
People Are Scratching Their Heads At Who Trump Just Appointed To Help Give Recommendations To The Defense Department,"""What qualifications does she have for this.""View Entire Post ›",Buzzfeed,2026-03-11T00:02:02Z
Does South Korea Really Want US Attention on the Korean Peninsula?,"So according to a White House official, and reported in every South Korean news portal, Trump is open to talking with Kim, “without any preconditions.” Some have been waiting for this for a while – at least Washington’s think-tanks have. Read the latest from …",Antiwar.com,2026-03-11T00:00:56Z
Washington’s Latest Big Lie: Iran’s 47-Years War on America,"At the center of the White House justification for launching still another Forever War stands the most hideous neocon lie yet. And it’s one that blatantly betrays every campaign promise the Donald ever made on the subject. The latest Big Lie, of course, is th…",Antiwar.com,2026-03-11T00:00:35Z
China pledges billion-dollar spending boost for science,Funding for national laboratories and important research projects would increase under the government’s plans.,Nature.com,2026-03-11T00:00:00Z
"In the Primary Lineup, Eight’s a Crowd","Despite their party’s concerted efforts to shrink the field of hopefuls, eight prominent Democrats choose to remain in California’s gubernatorial race. What that means: eight weeks of intraparty scuffling that may be personal and petty, not policy driven.",Hoover.org,2026-03-11T00:00:00Z
National statistics are in crisis around the world — and the impacts will be severe,"Some researchers are sounding the alarm over the official data sets that track crucial aspects of life in the United States, Argentina, the United Kingdom and India.",Nature.com,2026-03-11T00:00:00Z
